data_referencia;hora_referencia;secao;campo;valor_original;unidade;valor_numerico;escala;observacao;fonte
2026-05-12;15:18;Social Selling Index atual;Social Selling Index atual;53 de 100;pontos;53;0-100;;LinkedIn SSI / scrape_ssi.py
2026-05-12;15:18;Os quatro componentes da sua pontuação;Estabelecer sua marca profissional;21,048;pontos;21.048;0-25;;LinkedIn SSI / scrape_ssi.py
2026-05-12;15:18;Os quatro componentes da sua pontuação;Localizar as pessoas certas;6,5;pontos;6.5;0-25;;LinkedIn SSI / scrape_ssi.py
2026-05-12;15:18;Os quatro componentes da sua pontuação;Interagir oferecendo insights;10,25;pontos;10.25;0-25;;LinkedIn SSI / scrape_ssi.py
2026-05-12;15:18;Os quatro componentes da sua pontuação;Criar relacionamentos;15;pontos;15.0;0-25;;LinkedIn SSI / scrape_ssi.py
2026-05-12;15:18;Sua classificação;Classificação SSI do setor;Primeiros 10%;percentual;10;percentual;Ranking percentual no setor;LinkedIn SSI / scrape_ssi.py
2026-05-12;15:18;Sua classificação;Classificação SSI da rede;Primeiros 12%;percentual;12;percentual;Ranking percentual na rede;LinkedIn SSI / scrape_ssi.py
2026-05-12;15:18;Benchmark;SSI médio do setor;35 de 100;pontos;35;0-100;;LinkedIn SSI / scrape_ssi.py
2026-05-12;15:18;Benchmark;SSI médio da rede;36 de 100;pontos;36;0-100;;LinkedIn SSI / scrape_ssi.py
